deg,deg_meanR,num
167,5.474036278708898,327
168,5.480375551401067,327
169,5.481898550200129,230
170,5.484516739713994,278
171,5.49071359731849,311
172,5.4918536458891305,289
173,5.485565463907817,270
174,5.484989730792367,262
175,5.477719975174358,342
176,5.4679873833624155,261
177,5.451318418384814,320
178,5.449474553171774,343
179,5.444864271730284,315
180,5.442810903384521,345
181,5.442750013350889,180
182,5.438709483056962,303
183,5.439735713719464,338
184,5.436832743103177,374
185,5.435727278107419,384
186,5.439889317712805,384
187,5.4446845931657295,389
188,5.447697705466068,364
189,5.448935288258372,356
190,5.452725925423313,356
191,5.4596690428907095,352
192,5.469823599880753,361
193,5.47065091603547,371
194,5.4698952171538435,369
195,5.471738356054503,364
196,5.46610249952417,343
197,5.459069239882908,334
198,5.453166815749422,329
199,5.4579536809828335,332
200,5.459451532643802,337
201,5.466191131659901,308
202,5.477643498145489,317
203,5.486433752454041,324
204,5.491399613480162,316
205,5.494336397623649,307
206,5.497858629585642,294
207,5.498719153391947,288
208,5.485801519224161,315
209,5.476951500567464,335
210,5.46887767338985,326
211,5.46576862704347,334
212,5.459949829631671,329
213,5.460924938616301,316
214,5.466404599180306,327
215,5.472963110175745,327
216,5.472840963573601,311
217,5.465943685188928,308
218,5.460564092763956,298
219,5.455270681888376,271
220,5.452941776604658,294
221,5.450470945735419,295
222,5.445302068541946,313
223,5.443740708029848,263
224,5.441254606811578,292
225,5.4364690656569525,299
226,5.431163521117228,306
227,5.427141242881899,295
228,5.4282283644548475,291
229,5.428534842357577,297
230,5.424495276405636,259
231,5.423842458856891,283
232,5.419958988032299,148
233,5.421934751322996,244
234,5.422642685242771,242
235,5.42304446476031,257
236,5.423413349305141,257
237,5.424415430112621,240
238,5.424628793099423,244
239,5.420037379473785,230
240,5.417009869626452,254
241,5.4143839996435394,240
242,5.412021398514849,229
243,5.41610441086131,244
244,5.4200808201253405,236
245,5.423730270616916,227
246,5.429099880992525,265
247,5.431976481352182,243
248,5.432758679783902,233
249,5.433917442006823,236
250,5.436662576693263,242
251,5.442237564017276,239
252,5.45005475107806,227
253,5.446358775067793,245
254,5.445667152491815,259
255,5.434454558671866,252
256,5.424034064348935,236
257,5.420766204754769,243
258,5.417614395723062,268
259,5.414712412784209,261
260,5.416589311056573,245
261,5.410744726573105,251
262,5.411779253415822,239
263,5.406759209937913,245
264,5.410442726261766,283
265,5.411496564896995,270
266,5.406399309846507,238
267,5.399949040181652,278
268,5.3983438616473265,333
269,5.409316245431517,277
270,5.404547707616013,271
271,5.4094143324954,335
272,5.418138032502871,355
273,5.4277508436334845,408
274,5.441828861786497,451
275,5.45135727455433,409
276,5.454317413128836,336
277,5.447876543071524,302
278,5.441787492192113,317
279,5.433396534721351,148
280,5.416791258455693,283
281,5.414875227105853,376
282,5.4110440967279265,454
283,5.409272418780457,463
284,5.406196263631407,460
285,5.4097307539458726,471
286,5.408955526085781,455
287,5.401515172367936,461
288,5.3919824636964,417
289,5.39411979714552,498
290,5.399197492891141,579
291,5.407901102959466,536
292,5.412760622709233,430
293,5.417564268065832,463
294,5.4264767496264605,542
295,5.435721755397388,429
296,5.442258258181916,193
297,5.455253654905925,540
298,5.466385083257498,599
299,5.473846633758745,751
300,5.478067951783897,441
301,5.483041888565829,475
302,5.490304306769273,579
303,5.495977541823276,616
304,5.496983931602862,726
305,5.48814126388028,993
306,5.489398558790204,1316
307,5.486047772551193,1112
308,5.476794947089836,812
309,5.458563667888343,812
310,5.461797930970653,781
311,5.472988033977769,640
312,5.477611814528403,493
313,5.486000917754444,1049
314,5.480214872154825,1026
315,5.475838815370197,924
316,5.472240964961709,749
